location,id,title,expires,branch,tenure,agcy_name,org_name,pborg_seq,pborg_managed_by,org_order,name_of_incumbent,type_of_appt,pay_plan,pay,pb_order
"Arlington, VA",1026,"Strategic Advisor, Space and Intelligence",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Charles L. Beames,Limited Term Appointment(TA),Senior Executive Service(ES),,355
"Arlington, VA",1027,Special Assistant to the Deputy Assistant Secretary of Defense (Manufacturing and Industrial Base Policy),,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Neal J. Orringer,Schedule C Excepted Appointment(SC),General Schedule(GS),15,360
"Arlington, VA",1028,"Special Assistant to the Deputy Assistant Secretary of Defense, Manufacturing and Industrial Base Policy",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Ellen Y. Chou,Schedule C Excepted Appointment(SC),General Schedule(GS),15,365
"Arlington, VA",1029,Confidential Assistant,,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Gail J. Henderson-Wishnefsky,Schedule C Excepted Appointment(SC),General Schedule(GS),14,370
"Washington, DC",103,Administrator,,Executive,,Department of Agriculture,Rural Business Service,7151,6752,190,Judith Ann Canales,Noncareer Appointment(NA),Senior Executive Service(ES),,5
"Arlington, VA",1030,Special Assistant to the Assistant Secretary of Defense for Operational Energy Plans and Programs,,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Tarak N. Shah,Schedule C Excepted Appointment(SC),General Schedule(GS),13,375
"Arlington, VA",1031,"Special Assistant to the Principal Deputy Under Secretary of Defense (Acquisition, Technology and Logistics)",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Vishal D. Doshi,Schedule C Excepted Appointment(SC),General Schedule(GS),12,380
"Arlington, VA",1032,"Special Assistant to the Assistant to the Secretary of Defense (Nuclear, Chemical and Biological Defense Programs)",,Executive,,Department of Defense - Office of the Secretary of Defense,"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",5010,5022,170,Ian W. Grant,Schedule C Excepted Appointment(SC),General Schedule(GS),12,385
"Arlington, VA",1033,Director,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Advanced Research Projects Agency,5019,5022,180,Arati Prabhakar,Noncareer Appointment(NA),Senior Executive Service(ES),,5
"Arlington, VA",1034,Comptroller,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Advanced Research Projects Agency,5019,5022,180,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Arlington, VA",1035,General Counsel,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Advanced Research Projects Agency,5019,5022,180,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Arlington, VA",1036,Special Assistant for Strategy and Planning,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Advanced Research Projects Agency,5019,5022,180,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,20
"Arlington, VA",1037,"Special Assistant, Operations Liaison",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Advanced Research Projects Agency,5019,5022,180,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,25
"Arlington, VA",1038,"Special Assistant, Tactical Analysis",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Advanced Research Projects Agency,5019,5022,180,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,30
"Arlington, VA",1039,Director for Joint History,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Washington, DC",104,Chief of Staff,,Executive,,Department of Agriculture,Rural Business Service,7151,6752,190,Curtis A. Wiley,Noncareer Appointment(NA),Senior Executive Service(ES),,10
"Arlington, VA",1040,Joint Staff Comptroller,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Arlington, VA",1041,Deputy Director for Strategic Logistics,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,25
"Arlington, VA",1042,"Vice Director for Force Structure, Resources and Assessment",,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,30
"Arlington, VA",1043,Deputy Director for Force Management,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,35
"Arlington, VA",1044,Principal Deputy Director for Strategic Plans and Policy,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,40
"Arlington, VA",1045,Deputy Director for Strategic Stability,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,45
"Arlington, VA",1046,Civilian Executive Assistant,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Kristen Cicio,Schedule C Excepted Appointment(SC),General Schedule(GS),14,50
"Arlington, VA",1047,Staff Assistant,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Joint Chiefs of Staff,4982,5022,190,Mary Turner,Schedule C Excepted Appointment(SC),General Schedule(GS),14,55
"Arlington, VA",1048,Executive Director,,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Washington, DC",1049,Deputy for International Affairs,,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Washington, DC",105,"Deputy Administrator, Cooperative Services",,Executive,,Department of Agriculture,Rural Business Service,7151,6752,190,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,30
"Huntsville, AL",1050,"Program Director, Ballistic Missile Defense Sensors",,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Arlington, VA",1051,"Deputy Program Director, Aegis Ballistic Missile Defense",,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Vacant,,Senior Executive Service(ES),,20
"Arlington, VA",1052,"General Counsel, Missile Defense Agency",,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Vacant,,Senior Executive Service(ES),,25
"Huntsville, AL",1053,Deputy Director for Test,,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,30
"Fort Belvoir, VA",1054,Comptroller/Chief Financial Officer,,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,35
"Arlington, VA",1055,"Director, Security/Intelligence Operations",,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Vacant,,Senior Executive Service(ES),,40
"Auburn, AL",1056,"Director, Contracting",,Executive,,Department of Defense - Office of the Secretary of Defense,Missile Defense Agency,4983,5022,200,Vacant,,Senior Executive Service(ES),,45
"Alexandria, VA",1057,General Counsel,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Contract Audit Agency,4984,5022,210,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Arlington, VA",1058,Director,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Human Resources Activity,5038,5022,230,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Rosslyn, VA",1059,"Director, Interagency Program Office, Department of Defense/Veteran Affairs",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Human Resources Activity,5038,5022,230,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Washington, DC",106,Special Assistant,,Executive,,Department of Agriculture,Rural Business Service,7151,6752,190,Justin Sterling Hatmaker,Schedule C Excepted Appointment(SC),General Schedule(GS),14,40
"Arlington, VA",1060,"Executive Director, Employer Support of the Guard and Reserve",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Human Resources Activity,5038,5022,230,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,25
"Arlington, VA",1061,"Director, Federal Voting Assistance Program",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Human Resources Activity,5038,5022,230,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,30
"Arlington, VA",1062,"Executive Director, Enterprise HR Information Systems",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Human Resources Activity,5038,5022,230,Vacant,,Senior Executive Service(ES),,35
"Arlington, VA",1063,"Deputy Director, Transition to Veterans Program Office",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Human Resources Activity,5038,5022,230,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,305
"Fort Lee, VA",1064,"Executive Director, Engineering and Analysis",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Contract Management Agency,4993,5022,240,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Arlington, VA",1065,Defense Acquisition Regulations Counsel,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Contract Management Agency,4993,5022,240,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Arlington, VA",1066,General Counsel,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Information Systems Agency,4994,5022,250,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Fort Belvoir, VA",1067,Director,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Threat Reduction Agency,4995,5022,260,Kenneth A. Myers III,Noncareer Appointment(NA),Senior Executive Service(ES),,5
"Fort Belvoir, VA",1068,General Counsel,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Threat Reduction Agency,4995,5022,260,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Arlington, VA",1069,Deputy Director,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Security Cooperation Agency,4996,5022,270,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Washington, DC",107,Administrator,,Executive,,Department of Agriculture,Rural Housing Service,7152,6752,200,Tammye Hildamar Trevino,Noncareer Appointment(NA),Senior Executive Service(ES),,5
"Arlington, VA",1070,Principal Director for Operations,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Security Cooperation Agency,4996,5022,270,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Arlington, VA",1071,"Principal Director, Business Operations",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Security Cooperation Agency,4996,5022,270,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Arlington, VA",1072,Principal Director for Programs,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Security Cooperation Agency,4996,5022,270,Vacant,,Senior Executive Service(ES),,20
"Arlington, VA",1073,Foreign Relations Defense Policy Manager (Principal Director for Strategy),,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Security Cooperation Agency,4996,5022,270,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,25
"Alexandria, VA",1074,Director,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,5
"Alexandria, VA",1075,Principal Deputy Director,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Whitehall, OH",1076,Deputy Director for Operations,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Whitehall, OH",1077,"Deputy Director, Strategy and Support",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,20
"Fort Ben Harrison, IN",1078,"Director, Audit Readiness Office",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,25
"Fort Ben Harrison, IN",1079,Site Director - Indianapolis,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,30
"Washington, DC",108,Associate Administrator,,Executive,,Department of Agriculture,Rural Housing Service,7152,6752,200,Vacant,,Senior Executive Service(ES),,10
"Cleveland, OH",1080,Site Director - Cleveland,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,35
"Whitehall, OH",1081,Site Director - Columbus,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,40
"Alexandria, VA",1082,"Director, Information and Technology",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,45
"Alexandria, VA",1083,Director for Internal Review,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,50
"Alexandria, VA",1084,General Counsel,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,55
"Whitehall, OH",1085,Director for Enterprise Solutions and Standards,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,60
"Fort Ben Harrison, IN",1086,"Director, Enterprise Management Services",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Vacant,,Senior Executive Service(ES),,65
"Fort Ben Harrison, IN",1087,"Director, Strategy, Policy, and Requirements",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,70
"Fort Ben Harrison, IN",1088,Deputy Site Director - Indianapolis,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Vacant,,Senior Executive Service(ES),,75
"Whitehall, OH",1089,Deputy Site Director - Cleveland,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Vacant,,Senior Executive Service(ES),,80
"Washington, DC",109,Chief Information Officer,,Executive,,Department of Agriculture,Rural Housing Service,7152,6752,200,Vacant,,Senior Executive Service(ES),,15
"Whitehall, OH",1090,Deputy Site Director - Columbus,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,85
"Rome, NY",1091,Site Director-Rome,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,90
"Fort Ben Harrison, IN",1092,Deputy Director for Compliance,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Vacant,,Senior Executive Service(ES),,95
"Alexandria, VA",1093,Deputy Director for Information and Technology,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,100
"Fort Ben Harrison, IN",1094,Deputy Director for Standards,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,105
"Whitehall, OH",1095,"Director, Systems",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,110
"Fort Ben Harrison, IN",1096,Chief Financial Officer,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Finance and Accounting Service,4997,5022,280,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,115
"Arlington, VA",1097,Deputy Director/Chief Operating Officer,,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Commissary Agency,4999,5022,290,Vacant,,Senior Executive Service(ES),,10
"Fort Lee, VA",1098,"Executive Director, Store Operations Group",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Commissary Agency,4999,5022,290,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Fort Lee, VA",1099,"Executive Director, Sales, Marketing and Policy Group",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Commissary Agency,4999,5022,290,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,20
"Washington, DC",11,Chief of Staff to the Deputy Secretary,,Executive,,Department of Agriculture,Office of The Secretary,6752,6751,10,Suzanne Smith Palmieri,Noncareer Appointment(NA),Senior Executive Service(ES),,55
"Washington, DC",110,"Deputy Administrator, Community Programs",,Executive,,Department of Agriculture,Rural Housing Service,7152,6752,200,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,20
Germany,1100,"Executive Director, Infrastructure Support Group",,Executive,,Department of Defense - Office of the Secretary of Defense,Defense Commissary Agency,4999,5022,290,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,25
"Arlington, VA",1101,Deputy Chief Management Officer,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Deputy Chief Management Officer,5046,5021,310,Elizabeth A. McGrath,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),III,5
"Arlington, VA",1102,Assistant Deputy Chief Management Officer,,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Deputy Chief Management Officer,5046,5021,310,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,10
"Arlington, VA",1103,"Director, Technology, Innovation and Engineering",,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Deputy Chief Management Officer,5046,5021,310,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,15
"Arlington, VA",1104,"Director, Strategic Management and Performance",,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Deputy Chief Management Officer,5046,5021,310,Vacant,,Senior Executive Service(ES),,20
"Arlington, VA",1105,"Director, Investment and Acquisition Management",,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Deputy Chief Management Officer,5046,5021,310,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,25
"Arlington, VA",1106,"Director, Business Integration",,Executive,,Department of Defense - Office of the Secretary of Defense,Office of the Deputy Chief Management Officer,5046,5021,310,Career Incumbent,Career Appointment(CA),Senior Executive Service(ES),,30
"Arlington, VA",1107,Secretary,,Executive,,Department of Defense - Department of the Air Force,Office of The Secretary,5177,5233,10,Michael B. Donley,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),II,5
"Arlington, VA",1108,Special Assistant,,Executive,,Department of Defense - Department of the Air Force,Office of The Secretary,5177,5233,10,Nicholas D. Wilson,Schedule C Excepted Appointment(SC),General Schedule(GS),13,20
