title,expires,branch,agcy_name,org_name,pborg_seq,pborg_managed_by,org_order,name_of_incumbent,tenure,type_of_appt,pay_plan,pay,pb_order,location,id
Deputy Director for Operations,,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Ricardo Villeta,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$169,459 ",100,"Washington, DC",1009
Associate Director for Operations,,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,55,"Washington, DC",101
Policy Director,,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Moira Forbes,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$166,149 ",105,"Washington, DC",1010
Policy Director,,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Jane Horvath,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$165,000 ",110,"Washington, DC",1011
Policy Director and Contracting Officer,,Executive,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,40300,-1,10,Amy Bernstein,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$168,223 ",115,"Washington, DC",1012
Executive Director,,Executive,MEDICARE PAYMENT ADVISORY COMMISSION,MEDICARE PAYMENT ADVISORY COMMISSION,37590,-1,1,Mark Miller,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$171,000 ",5,"Washington, DC",1013
Deputy Director,,Executive,MEDICARE PAYMENT ADVISORY COMMISSION,MEDICARE PAYMENT ADVISORY COMMISSION,37590,-1,1,James Mathews,,Appointment Excepted by Statute(XS),Administratively Determined Rates(AD),"$171,000 ",15,"Washington, DC",1014
Chairman,,Executive,MERIT SYSTEMS PROTECTION BOARD,"OFFICE OF THE BOARD, CHAIRMAN",39458,39457,1,Susan Tsui Grundmann,,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),III,5,"Washington, DC",1015
Chief of Staff,,Executive,MERIT SYSTEMS PROTECTION BOARD,"OFFICE OF THE BOARD, CHAIRMAN",39458,39457,1,Vacant,,,Senior Executive Service(ES),,10,"Washington, DC",1016
Chief Counsel to the Chairman,,Executive,MERIT SYSTEMS PROTECTION BOARD,"OFFICE OF THE BOARD, CHAIRMAN",39458,39457,1,Vacant,,,Senior Executive Service(ES),,15,"Washington, DC",1017
Executive Director,,Executive,MERIT SYSTEMS PROTECTION BOARD,"OFFICE OF THE BOARD, CHAIRMAN",39458,39457,1,James M. Eisenmann,,Noncareer Appointment(NA),Senior Executive Service(ES),,20,"Washington, DC",1018
Vice Chairman,,Executive,MERIT SYSTEMS PROTECTION BOARD,"Office of the Board, Vice Chairman",39460,39458,2,Vacant,,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,5,"Washington, DC",1019
Confidential Assistant,,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Ivonne Silva,,Schedule C Excepted Appointment(SC),General Schedule(GS),12,90,"Miami, FL",102
Chief Counsel to the Vice Chair,,Executive,MERIT SYSTEMS PROTECTION BOARD,"Office of the Board, Vice Chairman",39460,39458,2,Vacant,,,Senior Executive Service(ES),,10,"Washington, DC",1020
Member,,Executive,MERIT SYSTEMS PROTECTION BOARD,"Office of the Board, Member",39459,39458,3,Mark A. Robbins,,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,5,"Washington, DC",1021
"Chief Counsel, to the Member",,Executive,MERIT SYSTEMS PROTECTION BOARD,"Office of the Board, Member",39459,39458,3,Daniel M. Turbitt,,Noncareer Appointment(NA),Senior Executive Service(ES),,10,"Washington, DC",1022
General Counsel,,Executive,MERIT SYSTEMS PROTECTION BOARD,Office of the General Counsel,39467,39458,4,Bryan G. Polisuk,,Noncareer Appointment(NA),Senior Executive Service(ES),,5,"Washington, DC",1023
"Director, Office of Appeals Counsel",,Executive,MERIT SYSTEMS PROTECTION BOARD,Office of Appeals Counsel,39461,39458,1,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1024
Vice President,,Executive,MILLENNIUM CHALLENGE CORPORATION,DEPARTMENT OF POLICY AND EVALUATION,37499,37498,1,Beth C. Tritter,,Presidential Appointment (without Senate Confirmation)(PA),Administratively Determined Rates(AD),"$175,000 ",5,"Washington, DC",1025
Vice President,,Executive,MILLENNIUM CHALLENGE CORPORATION,DEPARTMENT OF CONGRESSIONAL AND PUBLIC AFFAIRS,37502,37498,1,Paul C. Weinberger,,Presidential Appointment (without Senate Confirmation)(PA),Administratively Determined Rates(AD),"$170,200 ",5,"Washington, DC",1026
Vice President and General Counsel,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE GENERAL COUNSEL,37500,37498,1,Sarah E. Fandell,,Presidential Appointment (without Senate Confirmation)(PA),Administratively Determined Rates(AD),"$175,000 ",5,"Washington, DC",1027
Chief Executive Officer,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE CHIEF EXECUTIVE OFFICER,37503,37498,1,Dana Joy Hyde,,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),II,5,"Washington, DC",1028
Board Member,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE CHIEF EXECUTIVE OFFICER,37503,37498,1,Susan McCue,,Presidential Appointment (without Senate Confirmation)(PA),Other Pay Plan* (all those not listed separately)(OT),"$157,100 ",10,"Washington, DC",1029
"Member, Advisory Board for Cuba Broadcasting",,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Vacant,3 Years,Presidential Appointment with Senate Confirmation(PAS),Daily Pay Rate* (per diem)(PD),,100,"Miami, FL",103
Board Member,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE CHIEF EXECUTIVE OFFICER,37503,37498,1,Morton H. Halperin,,Presidential Appointment (without Senate Confirmation)(PA),Other Pay Plan* (all those not listed separately)(OT),"$155,500 ",15,"Washington, DC",1030
Board Member,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE CHIEF EXECUTIVE OFFICER,37503,37498,1,Michael O. Johanns,,Presidential Appointment (without Senate Confirmation)(PA),Other Pay Plan* (all those not listed separately)(OT),"$160,300 ",20,"Washington, DC",1031
Board Member,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE CHIEF EXECUTIVE OFFICER,37503,37498,1,Vacant,,Presidential Appointment (without Senate Confirmation)(PA),Other Pay Plan* (all those not listed separately)(OT),,25,"Washington, DC",1032
Deputy Chief Executive Officer,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE CHIEF EXECUTIVE OFFICER,37503,37498,1,Nancy Lee,,Presidential Appointment (without Senate Confirmation)(PA),Administratively Determined Rates(AD),"$178,000 ",30,"Washington, DC",1033
Chief of Staff,,Executive,MILLENNIUM CHALLENGE CORPORATION,OFFICE OF THE CHIEF EXECUTIVE OFFICER,37503,37498,1,Parita Shah Selfridge,,Presidential Appointment (without Senate Confirmation)(PA),Administratively Determined Rates(AD),"$175,000 ",35,"Washington, DC",1034
Trustee,10/6/2018,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,Eric Eberhard,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,5,"Tucson, AZ",1035
Trustee,4/15/2017,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,Camilla Feibelman,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,10,"Tucson, AZ",1036
Trustee,10/6/2020,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,James Huffman II,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,15,"Tucson, AZ",1037
Trustee,10/6/2018,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,Mark Nethery,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,20,"Tucson, AZ",1038
Trustee,,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,D. Michael Rappoport,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,25,"Tucson, AZ",1039
"Member, Advisory Board for Cuba Broadcasting",,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Jose A. Costa Jr.,3 Years,Presidential Appointment with Senate Confirmation(PAS),Daily Pay Rate* (per diem)(PD),,105,"Miami, FL",104
Trustee,5/26/2019,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,Charles Rose,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,30,"Tucson, AZ",1040
Trustee,10/6/2016,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,Anne Udall,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,35,"Tucson, AZ",1041
Trustee,,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,Vacant,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,40,"Tucson, AZ",1042
Trustee,,Executive,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,37553,-1,1,Vacant,6 Years,Presidential Appointment with Senate Confirmation(PAS),Without Compensation*(WC),,45,"Tucson, AZ",1043
Administrator,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE ADMINISTRATOR,39607,39650,10,Charles F. Bolden Jr.,,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),II,5,"Washington, DC",1044
Deputy Administrator,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE ADMINISTRATOR,39607,39650,10,Dava Newman,,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),III,10,"Washington, DC",1045
Chief of Staff,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE ADMINISTRATOR,39607,39650,10,Michael French,,Noncareer Appointment(NA),Senior Executive Service(ES),,15,"Washington, DC",1046
Deputy Chief of Staff,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE ADMINISTRATOR,39607,39650,10,Jonathan Arthur Dale Herczeg,,Noncareer Appointment(NA),Senior Executive Service(ES),,20,"District of Columbia, DC",1047
White House Liaison,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE ADMINISTRATOR,39607,39650,10,Clarissa H. Kornell,,Schedule C Excepted Appointment(SC),General Schedule(GS),15,25,"Washington, DC",1048
Chief Financial Officer,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE CHIEF FINANCIAL OFFICER,40124,39650,30,David Radzanowski,,Presidential Appointment with Senate Confirmation(PAS),Executive Schedule(EX),IV,5,"Washington, DC",1049
"Member, Advisory Board for Cuba Broadcasting",,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Adam M. Lindemann,3 Years,Presidential Appointment with Senate Confirmation(PAS),Daily Pay Rate* (per diem)(PD),,110,"Miami, FL",105
Policy Analyst,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE CHIEF FINANCIAL OFFICER,40124,39650,30,Jennifer Sanchez,,Schedule C Excepted Appointment(SC),General Schedule(GS),13,10,"Washington, DC",1050
Chief Information Officer,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF THE CHIEF INFORMATION OFFICER,39609,39650,40,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1051
Associate Administrator for Diversity and Equal Opportunity,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF DIVERSITY AND EQUAL OPPORTUNITY,40126,39650,90,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1052
Associate Administrator for Education,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF EDUCATION,39546,39650,100,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"District of Columbia, DC",1053
International Affairs Specialist,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF INTERNATIONAL AND INTERAGENCY RELATIONS,40127,39650,110,Elise Adele Nelson,,Schedule C Excepted Appointment(SC),General Schedule(GS),11,10,"District of Columbia, DC",1054
General Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF GENERAL COUNSEL,39575,39650,120,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1055
Deputy General Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF GENERAL COUNSEL,39575,39650,120,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Washington, DC",1056
Associate General Counsel (General Law Practice Group),,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF GENERAL COUNSEL,39575,39650,120,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,15,"Washington, DC",1057
"Associate General Counsel, Intellectual Property and Commercial Law Practice Group",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF GENERAL COUNSEL,39575,39650,120,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,20,"Washington, DC",1058
"Associate General Counsel, Contracts and Procurement Practice Group",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF GENERAL COUNSEL,39575,39650,120,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,25,"Washington, DC",1059
"Member, Advisory Board for Cuba Broadcasting",,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Robert H. McKinney,3 Years,Presidential Appointment with Senate Confirmation(PAS),Daily Pay Rate* (per diem)(PD),,115,"Miami, FL",106
"Associate General Counsel, International Law Practice Group",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF GENERAL COUNSEL,39575,39650,120,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,30,"Washington, DC",1060
Special Assistant,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF GENERAL COUNSEL,39575,39650,120,Maurielle Stewart,,Schedule C Excepted Appointment(SC),General Schedule(GS),11,35,"Washington, DC",1061
Associate Administrator for Legislative and Intergovernmental Affairs,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,39582,39650,130,L S. Statler,,Noncareer Appointment(NA),Senior Executive Service(ES),,5,"Washington, DC",1062
"Legislative Affairs Specialist & Manager, External Outreach for Space Tech",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,39582,39650,130,Brett E. Silcox,,Schedule C Excepted Appointment(SC),General Schedule(GS),14,10,"Washington, DC",1063
Legislative Affairs Specialist,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,39582,39650,130,Daniel Cho West,,Schedule C Excepted Appointment(SC),General Schedule(GS),11,15,"District of Columbia, DC",1064
Legislative Affairs Specialist,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,39582,39650,130,Gilbert Thomas Rivera III,,Schedule C Excepted Appointment(SC),General Schedule(GS),9,20,"District of Columbia, DC",1065
Associate Administrator for Communications,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF COMMUNICATIONS,39576,39650,150,David S. Weaver,,Noncareer Appointment(NA),Senior Executive Service(ES),,5,"Washington, DC",1066
Senior Advisor (Speechwriter),,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF COMMUNICATIONS,39576,39650,150,Stephen Rabin,,Schedule C Excepted Appointment(SC),General Schedule(GS),15,10,"Washington, DC",1067
Public Affairs Specialist,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF COMMUNICATIONS,39576,39650,150,Sarah Rebecca Ramsey,,Schedule C Excepted Appointment(SC),General Schedule(GS),14,15,"District of Columbia, DC",1068
Deputy Press Secretary and Strategic Coordinator,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF COMMUNICATIONS,39576,39650,150,Allison Kelly,,Schedule C Excepted Appointment(SC),General Schedule(GS),11,20,"Washington, DC",1069
"Member, Advisory Board for Cuba Broadcasting",,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Feliciano M. Foyo,3 Years,Presidential Appointment with Senate Confirmation(PAS),Daily Pay Rate* (per diem)(PD),,120,"Miami, FL",107
Media Relations Specialist,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF COMMUNICATIONS,39576,39650,150,Jerry Andrew Rengel,,Schedule C Excepted Appointment(SC),General Schedule(GS),11,25,"Washington, DC",1070
Social Media Specialist,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF COMMUNICATIONS,39576,39650,150,Emily Furfaro,,Schedule C Excepted Appointment(SC),General Schedule(GS),9,30,"Washington, DC",1071
"Associate Administrator, Small Business Programs",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,OFFICE OF SMALL BUSINESS,40128,39650,160,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1072
Associate Administrator for Aeronautics Research Mission Directorate,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,AERONAUTICS RESEARCH MISSION DIRECTORATE,39649,39650,170,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1073
Associate Administrator for Human Exploration and Operations,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,HUMAN EXPLORATION AND OPERATIONS MISSION DIRECTORATE,39628,39650,180,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1074
Associate Administrator for the Science Mission Directorate,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,SCIENCE MISSION DIRECTORATE,39627,39650,190,Vacant,,,Senior Executive Service(ES),,5,"Washington, DC",1075
Associate Administrator Space Technology Mission Directorate,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,SPACE TECHNOLOGY MISSION DIRECTORATE,40129,39650,200,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1076
Associate Administrator for Mission Support,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,MISSION SUPPORT DIRECTORATE,39578,39650,210,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Washington, DC",1077
"Director,  National Aeronautics and Space Administration, Ames Research Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,AMES RESEARCH CENTER,40131,39650,220,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Moffett Field, CA",1078
Chief Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,AMES RESEARCH CENTER,40131,39650,220,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Moffett Field, CA",1079
"Member, Advisory Board for Cuba Broadcasting",,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Vacant,3 Years,Presidential Appointment with Senate Confirmation(PAS),Daily Pay Rate* (per diem)(PD),,125,"Miami, FL",108
"Director, National Aeronautics and Space Administration, Armstrong Flight Research Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,ARMSTRONG FLIGHT RESEARCH CENTER,40123,39650,230,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Edwards Air Force Base, CA",1080
Chief Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,ARMSTRONG FLIGHT RESEARCH CENTER,40123,39650,230,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Edwards Air Force Base, CA",1081
"Director, National Aeronautics and Space Administration, Glenn Research Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,GLENN RESEARCH CENTER,40132,39650,240,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Cleveland, OH",1082
Chief Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,GLENN RESEARCH CENTER,40132,39650,240,Vacant,,,Senior Executive Service(ES),,10,"Cleveland, OH",1083
"Director, National Aeronautics and Space Administration, Goddard Space Flight Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,GODDARD SPACE FLIGHT CENTER,39642,39650,250,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Greenbelt, MD",1084
Chief Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,GODDARD SPACE FLIGHT CENTER,39642,39650,250,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Greenbelt, MD",1085
"Director, National Aeronautics and Space Administration, Johnson Space Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,JOHNSON SPACE CENTER,40133,39650,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Houston, TX",1086
"Chief Counsel, Johnson Space Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,JOHNSON SPACE CENTER,40133,39650,260,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Houston, TX",1087
"Director, National Aeronautics and Space Administration, Kennedy Space Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,KENNEDY SPACE CENTER,40134,39650,270,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Kennedy Space Center, FL",1088
Chief Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,KENNEDY SPACE CENTER,40134,39650,270,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Kennedy Space Center, FL",1089
"Member, Advisory Board for Cuba Broadcasting",,Executive,BROADCASTING BOARD OF GOVERNORS,INTERNATIONAL BROADCASTING BUREAU,39403,39401,2,Vacant,3 Years,Presidential Appointment with Senate Confirmation(PAS),Daily Pay Rate* (per diem)(PD),,130,"Miami, FL",109
"Director, National Aeronautics and Space Administration, Langley Research Center",,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,LANGLEY RESEARCH CENTER,40135,39650,280,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,5,"Hampton, VA",1090
Chief Counsel,,Executive,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,LANGLEY RESEARCH CENTER,40135,39650,280,Career Incumbent,,Career Appointment(CA),Senior Executive Service(ES),,10,"Hampton, VA",1091
